goodsId,singleProductId,sku,barcode
102788,104469,32615532-138CN,6903599710395
103331,104470,32444538-136CN,6909822669966
102899,104471,32445540-132CN,6909822658106
103519,104472,12615501-68CN,6903599509715
103495,104473,31611114-433CN,6903599703861
102954,104474,32425539-134CN,6909822641849
102957,104475,32448935-133CN,6909822659653
103425,104476,31548901-236CN,6909822696344
102347,104477,31515502-233CN,6909822661038
102909,104478,31611115-133CN,6903599703908
103499,104479,12535579-55CN,6903599441404
102588,104480,11548015-510.5CN,6903599465233
103131,104481,11618805-38CN,6903599523056
102690,104482,32435541-232CN,6909822649562
102196,104483,11611308-29CN,6903599496459
103502,104484,92448823-337CN,6913794763218
102562,104485,31549910-331CN,6909822697631
102856,104486,32426646-336CN,6909822642716
103452,104488,91535524-36.5CN,6913794778670
102582,104489,12618816-45.5CN,6903599518564
102471,104490,31425514-339CN,6909822639709
103294,104491,31548807-233CN,6909822696061
103410,104492,32525532-138CN,6909822676254
102739,104493,12617756-38.5CN,6903599513774
103298,104494,11617778-37.5CN,6903599503690
102821,104495,12618006-27.5CN,6903599515549
102833,104496,11611011-49CN,6903599494035
102799,104497,32448032-134CN,6909822658687
102868,104498,11618000-39.5CN,6903599503898
102404,104500,32415533-135CN,6909822632755
102750,104502,31518804-134CN,6909822664541
102506,104503,11611301-67.5CN,6903599495735
103390,104504,91515502-140CN,6913794764642
102413,104505,31445504-137CN,6909822653637
102315,104506,91518007-340CN,6913794766622
103116,104507,31435501-133CN,6909822644444
102331,104508,31445502-234CN,6909822653514
103065,104509,11617775-510.5CN,6903599503355
102605,104510,91615504-19.5CN,6913794790764
103488,104511,12618850-35CN,6903599525593
102460,104512,31431104-136CN,6909822643744
102424,104513,11618014-49CN,6903599504857
102474,104514,31445515-134CN,6909822654627
103026,104515,32515539-134CN,6909822666408
102604,104516,12538815-25CN,6903599449004
102578,104517,11611201-19.5CN,6903599495230
102425,104518,11618014-37.5CN,6903599504741
102176,104519,11611010-29CN,6903599519400
102483,104520,12616601-35.5CN,6903599512777
103183,104521,31425502-233CN,6909822635046
103123,104522,11616602-39CN,6903599521175
103076,104524,32438037-338CN,6909822650186
103232,104525,32425544-235CN,6909822637217
102742,104528,12617756-28CN,6903599513682
103260,104529,32445536-234CN,6909822657772
102890,104530,31531102-336CN,6909822680473
102385,104531,32425536-139CN,2050029581842
102307,104532,11618833-19CN,6903599508541
102791,104533,31448901-133CN,6909822656553
103313,104534,12618802-56.5CN,6903599517239
103384,104536,31445519-238CN,6909822655341
103152,104537,91531173-17.5CN,6913794776119
102581,104538,31529945-130CN,6909822675936
102398,104539,12618000-37CN,6903599515389
102908,104540,11618801-19CN,6903599507056
103099,104541,11618015-16.5CN,6903599504888
103252,104543,31525518-137CN,6909822672478
102597,104544,91535503-47CN,6913794777116
103345,104545,11615585-410.5CN,6903599500200
102918,104546,11618022-39.5CN,6903599505601
103312,104547,12618802-47.5CN,6903599517178
103457,104548,11618831-27CN,6903599508336
103520,104549,12615501-55CN,6903599509579
102573,104550,11611201-48CN,6903599495353
102300,104551,31415505-236CN,6909822628246
102199,104552,31538806-132CN,6909822685461
102752,104553,32426632-340CN,2050029608990
103126,104555,12615530-56CN,6903599510230
102211,104556,32518833-236CN,6909822667078
102986,104558,31448905-237CN,6909822656942
102797,104559,32524536-335CN,6909822690540
102691,104560,91448803-342CN,6913794761481
102589,104561,92535524-37.5CN,6913794783414
102721,104564,32528838-237CN,6909822678418
103140,104565,31515514-339CN,6909822663643
102900,104566,32435544-133CN,6909822649647
102796,104567,32528836-334CN,6909822678173
103054,104568,12615563-28.5CN,6903599523810
102716,104569,91511110-244CN,6913794763546
103162,104570,91435506-142CN,6913794839944
103038,104571,31519922-226CN,6909822665579
102295,104572,31619902-127CN,6903599705537
103019,104573,11615535-39.5CN,6903599498149
102424,104574,11618014-46.5CN,6903599504802
102314,104575,12615555-17.5CN,6903599510650
102420,104576,11618014-19.5CN,6903599504703
102156,104577,12617701-55CN,6903599513316
102450,104579,32425545-233CN,6909822642266
103367,104581,32525545-336CN,6909822677282
102441,104582,11618025-19CN,6903599522141
102345,104583,31515502-139CN,6909822661823
103142,104584,91531173-39CN,6913794776256
102426,104585,92615507-17CN,6913794792492
102694,104586,11611109-47.5CN,6903599494790
102511,104587,91518069-239CN,6913794767032
102763,104588,31531101-133CN,6909822680121
103458,104591,31534514-135CN,6903599701720
103347,104592,11615585-18.5CN,6903599500095
102834,104593,31539910-326CN,6909822686802
102872,104594,12618041-38.5CN,6903599516348
102824,104595,12618006-18.5CN,6903599524664
102863,104596,11618000-19CN,6903599503805
103280,104597,91615507-47CN,6913794791112
102980,104598,91525502-243CN,6913794769296
103505,104599,11617716-18.5CN,6903599502129
103171,104600,31610001-322CN,6903599703328
102737,104601,12617756-47.5CN,6903599513835
102675,104602,32435541-138CN,6909822649555
102554,104604,11615575-58.5CN,6903599499498
102921,104606,11618022-69CN,6903599505823
103417,104607,91615525-49.5CN,6913794791488
103147,104608,11538823-89.5CN,6903599437391
102513,104609,91338041-140CN,6913794827415
102312,104610,12615520-25.5CN,6903599509821
103325,104611,32425542-238CN,6909822642075
102680,104613,91535523-48.5CN,6913794778427
102659,104614,31615515-236CN,6903599708446
103092,104615,11615555-16.5CN,6903599520338
102656,104616,31448004-235CN,6909822656096
102403,104617,12538845-25.5CN,6903599450376
103177,104618,12617772-67CN,6903599514184
103075,104619,32540012-220CN,6909822698188
103015,104620,11615535-48.5CN,6903599498200
102507,104622,11611301-47CN,6903599495643
102807,104623,31615522-333CN,6903599704462
103492,104624,31528805-235CN,6909822673765
102527,104625,32535531-336CN,6909822687045
102565,104626,32445537-232CN,6909822657826
102550,104627,11618850-17CN,6903599523315
102671,104629,31436602-236CN,6909822646783
103080,104630,11617773-29.5CN,6903599503034
102892,104631,11618011-37CN,6903599504574
103393,104632,12618025-37CN,6903599515952
103481,104633,92435509-135CN,6913794754353
103250,104634,31425515-337CN,6909822639853
102643,104635,31524508-137CN,6909822689933
103037,104636,31611108-334CN,6903599703663
102800,104638,31538804-135CN,6909822685256
103108,104639,12618012-15.5CN,6903599515747
102756,104640,32426632-233CN,6909822642396
102969,104641,32449913-127CN,6909822659912
102467,104642,91535508-110.5CN,6913794777376
103111,104643,32549923-131CN,6903599701300
102970,104644,31516601-339CN,6909822663810
102751,104645,12618006-36.5CN,6903599515600
102688,104646,32518836-137CN,6909822666156
102232,104647,11615501-17.5CN,6903599497142
102749,104648,12618006-45.5CN,6903599515662
102208,104649,91541111-410.5CN,6913794785890
102265,104650,12611118-38.5CN,6903599523704
102370,104651,31441103-334CN,6909822652852
102942,104652,31611106-337CN,6903599705490
102212,104653,31545512-336CN,6909822693107
103216,104654,12618800-17CN,6903599516553
103185,104655,31425502-139CN,6909822638405
102276,104656,32529954-128CN,6909822679743
103168,104657,11615555-38CN,6903599520390
103421,104658,31618003-134CN,6903599705070
102717,104659,31538802-232CN,6909822684983
103320,104660,31615522-1 40#000CN,6903599704400
102670,104661,32525544-338CN,6909822677169
103433,104662,31611110-235CN,6903599703748
102452,104663,11615565-49CN,6903599498644
102481,104664,12616601-26.5CN,6903599512715
103297,104665,11617778-28.5CN,6903599503638
102502,104666,32439932-130CN,6909822651015
102483,104667,12616601-37CN,6903599512807
103392,104668,12618025-25.5CN,6903599524862
102270,104669,31525502-336CN,6909822670955
102384,104670,32425536-233CN,6909822641542
102458,104671,11615530-38CN,6903599497715
103352,104672,32445538-137CN,6909822658014
102840,104673,12528800-335CN,6903599416686
102431,104674,11618802-39CN,6903599507698
102661,104675,11618005-38.5CN,6903599504185
102622,104676,32528963-234CN,6909822678807
102695,104677,11611109-39CN,6903599494745
102543,104678,31525519-135CN,6909822672690
103485,104679,31615523-238CN,6903599709382
103420,104681,91615525-17CN,6913794791198
103053,104682,31444808-236CN,6909822669621
102520,104683,31535501-236CN,6909822681371
