goodsId,singleProductId,sku,barcode
105427,134477,31644810-335CN,6903599741382
105214,134469,31648801-339CN,6903599745342
105565,134465,32648804-133CN,6903599750124
105704,134453,31645516-336CN,6903599742587
105141,134451,31640002-127CN,6903599739143
105423,134446,92635516-88.5CN,6911713004534
105861,134441,91638802-310.5CN,6911713002387
105648,134433,91635501-48.5CN,6913794799309
105532,134421,32648001-238CN,6903599749579
105080,134420,31649908-230CN,6903599746356
105001,134419,31645504-333CN,6903599741719
105368,134418,91638803-28CN,6911713002585
106224,134409,31645501-133CN,6903599741436
105785,134404,31644106-338CN,6903599740927
106008,134398,91631101-27.5CN,6913794798722
105579,134393,32646912-138CN,6903599749272
105193,134391,31645508-333CN,6903599742068
105186,134386,31624520-336CN,6903599738320
105886,134382,32634543-134CN,6903599751633
105779,134381,31630002-223CN,6903599726457
105356,134377,31645511-238CN,6903599742396
105700,134373,31648001-235CN,6903599745021
105990,134372,31640001-123CN,6903599738986
105708,134370,31645516-634CN,6903599742709
104936,134367,32645501-136CN,6903599747575
106073,134366,31624515-533CN,6903599737545
105289,134365,32648806-235CN,6903599750384
105046,134337,31646666-238CN,6903599744079
106071,134335,91635516-79CN,6911713001328
105723,134327,31645505-133CN,6903599741788
105550,134323,92635501-55.5CN,6911713003278
106080,134317,31641191-237CN,6903599740767
105559,134311,92638003-37.5CN,6911713004671
105428,134305,92635516-58CN,6911713004282
105644,134298,91635501-27CN,6913794799118
106054,134292,31634806-334CN,6903599751374
106196,134284,31644802-238CN,6903599740996
105497,134273,32648802-235CN,6903599749845
105236,134271,32640001-126CN,6903599746929
105000,134270,31645504-239CN,6903599741702
105446,134269,31645520-339CN,6903599743034
105712,134265,31634905-128CN,6903599738535
105659,134263,31644805-234CN,6903599741160
105430,134261,92635516-45CN,6911713004145
105430,134259,92635516-47.5CN,6911713004190
105576,134256,91635515-47CN,6911713000482
105418,134253,31645531-338CN,6903599743515
105274,134251,31641108-138CN,6903599739945
106125,134250,31649901-128CN,6903599745984
105751,134248,31648804-335CN,6903599745724
105370,134247,31646913-233CN,6903599744796
105641,134218,31646656-133CN,6903599743881
105311,134210,31624512-239CN,6903599735718
105558,134209,92638003-46.5CN,6911713004732
105076,134207,32645505-136CN,6903599747872
