"goodsId","singleProductId","sku","barcode","platformGoodsId"
"103468","105369","91545546-58.5CN","6913794787382","10131641580"
"103469","113558","91545546-410.5CN","6913794787252","10131641580"
"103539","108945","91545546-210.5CN","6913794787092","10131641580"
"103587","114539","91628004-16.5CN","6913794796544","563112643815"
"103589","114775","91628004-38CN","6913794796650","10023949926"
"103590","116412","91628004-48.5CN","6913794796742","10023949926"
"103593","115642","91628004-99.5CN","6913794797008","563112643815"
"103595","114967","91628004-510.5CN","6913794796773","10023949926"
"103597","115458","91628004-69.5CN","6913794796926","563112643815"
"103606","117050","92625512-25.5CN","6913794798142","10076344815"
"103608","115467","92625512-18.5CN","6913794798128","10374414548"
"103610","115269","92625512-48.5CN","6913794798364","10186212382"
"103611","114861","92625512-36.5CN","6913794798241","10076344815"
"104270","115677","11631101-16.5CN","6903599567432","532838199582"
"104304","115476","91625505-29.5CN","6913794794366","10118458852"
"104800","115217","92628004-45CN","6911713005746","10074673719"
"104807","114737","92628004-17.5CN","6911713005555","566151668130"
"104808","117984","92628004-37.5CN","6911713005685","10074673719"
"104809","114965","92628004-26.5CN","6911713005623","10074673719"
"104851","119940","91625501-19CN","6913794793956","528471170226"
"104874","121257","91625512-49CN","6913794795394","2610830769"
"104875","116197","91625512-18CN","6913794795134","566434834918"
"104876","115949","91625512-310.5CN","6913794795257","566434834918"
"104877","116453","91625512-29.5CN","6913794795240","566434834918"
"104940","126473","11642203-47CN","6901849002931","553852222445"
"104947","131452","91648060-110.5CN","6911713009744","574629430845"
"104950","124797","91648060-38CN","6911713009942","10897041102"
"104952","125093","91648060-48.5CN","6911713010030","538823209355"
"104982","128650","92625512-67CN","6911713002905","527968536270"
"104984","125492","92625512-57.5CN","6911713002837","10076344815"
"104989","128483","91641103-48.5CN","6911713006439","11267374311"
"105029","126463","92645515-16CN","6911713011440","12123622356"
"105083","124713","11645553-49CN","6901849005192","562388637762"
"105089","130890","11645553-29CN","6901849005031","562412930741"
"105288","128586","91645502-29.5CN","6911713008457","538772242402"
"105290","128941","11641101-28.5CN","6903599599341","10142258993"
"105298","125340","11641101-88CN","6903599599730","10142258993"
"105319","134450","11717701-39CN","6901849049295","544570074548"
"105417","126247","11715565-28.5CN","6901849046324","544585735268"
"105426","130015","92635516-65.5CN","6911713004312","12296656677"
"105428","133665","92635516-57CN","6911713004268","534061403941"
"105434","124604","92635516-25.5CN","6911713004077","592320608446"
"105443","128709","11715565-57.5CN","6901849046461","544585735268"
"105525","126782","92648060-26.5CN","6911713012331","577546980232"
"105536","129835","92648060-75.5CN","6911713012553","577546980232"
"105550","130892","92635501-56.5CN","6911713003292","534208997652"
"105555","126012","92635501-15.5CN","6911713002950","10163837592"
"105587","125268","12715505-16.5CN","6901849058549","10546409216"
"105629","131248","11711112-79CN","6901849041213","10181848991"
"105682","127130","12648040-17.5CN","6901849029785","537819493453"
"105683","131070","11715505-19.5CN","6901849043941","542661946363"
"105945","129439","12645501-47.5CN","6901849020522","538250457342"
"105946","133271","12645501-16.5CN","6901849020348","10132685520"
"106011","129364","11718850-29.5CN","6901849056743","566269077827"
"106013","127867","11718850-110.5CN","6901849056590","566269077827"
"106029","133463","B958271179572730115819144-3XL","6911713008822","11457855700"
"106064","130149","91635516-59CN","6911713001168","10126233626"
"106076","130118","11718801-1E7.5CN","6901849055104","542872279443"
"106116","134014","92645502-46.5CN","6911713011211","10147357826"
"106145","126311","92645502-27CN","6911713011068","10147357826"
"106154","129726","91635516-28.5CN","6911713000918","554372799643"
"106155","131106","91635516-16.5CN","6911713000796","554372799643"
"106194","125379","91625512-56.5CN","6913794798388","552294153750"
"106199","124499","91625512-69CN","6913794798517","560978142626"
"106223","132182","11718801-3E7.5CN","6901849055425","542872279443"
"106228","124975","fz8149778295928149-12XL","6903599739525","12691897121"
"106287","134633","91628004-87CN","6911713016247","527056419100"
"106310","136906","91715502-48.5CN","6911713018111","571005391582"
"106340","134765","92715521-48CN","6911713022194","10186212382"
"106341","135319","92715521-65.5CN","6911713022309","10186212382"
"106344","138076","92715521-26.5CN","6911713022088","1001749022"
"106345","135834","92715521-15.5CN","6911713021982","10186212382"
"106434","139432","92718866-65CN","6911713066549","543226585178"
"106439","137451","11731101-48CN","6901849118106","10392418284"
"106440","136701","11731101-59.5CN","6901849118212","10392418284"
"106458","139532","92725550-17.5CN","6911713055789","570577483269"
"106463","139553","92725550-67CN","6911713056090","570577483269"
"106473","143181","11631120-17CN","6901849068272","578780956648"
"106575","134849","91718901-310.5CN","6911713023498","10269305830"
"106577","134647","91718901-49CN","6911713023634","543582814168"
"106578","138676","91718901-110.5CN","6911713023337","10269305830"
"106580","134932","91718901-27.5CN","6911713023443","10269305830"
"106591","136109","31739921-131CN","6903711228661","556757788662"
"106594","136226","31739921-229CN","6903711228692","556757788662"
"106608","136451","11728828-28.5CN","6901849077649","547298322033"
"106609","141031","11728828-37CN","6901849077694","547298322033"
"106622","143517","11725550-49.5CN","6901849071524","10251698212"
"106658","135225","91721131-29CN","6911713050999","10611867392"
"106697","137652","92718901-38.5CN","6911713025164","10270794206"
"106699","136819","92718901-26.5CN","6911713025041","10270794206"
"106700","135132","92718901-18CN","6911713024990","10270794206"
"106706","137412","92718901-46CN","6911713025195","10281351957"
"106711","136291","91711101-38.5CN","6911713016032","542800269672"
"106714","134911","91711101-210.5CN","6911713015905","542893421507"
"106720","134629","91711101-19CN","6911713015882","542800269672"
"106782","139235","31739903-228CN","6903711228388","556838297660"
"106783","139061","31739903-131CN","6903711228364","556838297660"
"106878","134715","12718040-26CN","6901849065011","10199991890"
"106930","134480","32719921-129CN","6903711201596","542656505418"
"107012","134549","91718866-39.5CN","6911713065832","10205818641"
"107085","142302","92718865-16.5CN","6911713066099","574245869969"
"107170","141087","91715521-59.5CN","6911713019323","10052379235"
"107178","134780","91715521-19.5CN","6911713019088","10052379235"
"107181","135295","91738000-38CN","6911713074667","10023760556"
"107182","138947","91715521-39.5CN","6911713019248","11567507274"
"107189","138730","12718801-36.5CN","6901849066063","544603031706"
"107196","140310","91715530-17.5CN","6911713019606","584252349471"
"107197","142246","91715530-29CN","6911713019712","584252349471"
"107199","138961","91715530-48CN","6911713019774","584252349471"
"107209","137079","11721101-29CN","6901849069033","546013864317"
"107244","139597","31724041-125CN","6903711219829","11608075642"
"107245","140685","91718001-18.5CN","6911713019866","566607654425"
"107260","141215","91718001-36.5CN","6911713019989","566607654425"
"107261","134924","91718001-26.5CN","6911713019903","566607654425"
"107332","136342","92718001-15CN","6911713022378","567227649239"
"107333","134634","92718001-27CN","6911713022491","567227649239"
"107335","135507","92718001-36.5CN","6911713022569","567227649239"
"107337","135007","92718001-45.5CN","6911713022620","567227649239"
"107411","136834","11725588-88CN","6901849072750","10219049624"
"107425","142614","92725521-57CN","6911713028332","544568799541"
"107470","141938","92725501-26.5CN","6911713054973","546362912334"
"107479","135288","92725501-57.5CN","6911713055192","546362912334"
"107568","135397","91718909-19.5CN","6911713066693","547684083858"
"107571","135586","91718909-28.5CN","6911713066754","547684083858"
"107625","149807","92815535-17CN","6901849693535","564311113236"
"107628","145062","92815535-26.5CN","6901849693603","564311113236"
"107634","146765","91735527-17CN","6911713099233","566204648484"
"107669","148288","12737782-46.5CN","6901849146765","560760533997"
"107671","149619","91725599-29CN","6911713089494","553737689492"
"107673","145791","12737782-26CN","6901849146673","560760533997"
"107678","154375","91742202-46.5CN","6901849658633","566749203673"
"107679","150954","91735527-48CN","6911713099493","566204648484"
"107691","144740","91738802-59CN","6911713075961","551573972116"
"107694","144997","91738802-27.5CN","6911713075770","551573972116"
"107696","149751","92815533-38CN","6901849682546","11329789600"
"107698","152729","92815533-26.5CN","6901849682430","11317217886"
"107703","148019","92735520-57CN","6911713077545","11485625833"
"107745","145077","91735501-57CN","6911713071604","10423683837"
"107792","150377","91815525-48CN","6901849688890","562331435387"
"107795","152566","91815525-58.5CN","6901849688982","562331435387"
"107802","146204","91745501-18.5CN","6901849659876","557253230026"
"107803","146052","91745501-27.5CN","6901849659937","557253230026"
"107804","148119","91745501-36.5CN","6901849659999","559069339862"
"107805","144609","91745501-410.5CN","6901849660063","557253230026"
"107823","146847","92815555-46CN","6901849699377","11189530753"
"107842","152757","91731101-310.5CN","6911713069021","10423682391"
"107843","150456","91731101-49.5CN","6911713069175","10423682391"
"107853","150205","91745523-29CN","6901849661244","557154496346"
"107856","151727","11741101-17CN","6901849121885","10807972013"
"107871","151795","32734950-130CN","6911713093866","560594161864"
"107882","151156","91735521-59.5CN","6911713073493","555146899627"
"107890","145864","92818000-36CN","6901849682744","584389486005"
"107905","145622","92818000-27CN","6901849682683","12123630331"
"107944","144622","92748002-108.5CN","6901849668694","566465279127"
"107957","144811","91718901-66.5CN","6911713086066","566630630955"
"107966","144513","91625512-119.5CN","6911713098809","566434834918"
"107969","148647","91625512-138.5CN","6911713098861","2610830769"
"107978","146160","91625512-107CN","6911713098670","10938636954"
"107980","145284","91815521-57.5CN","6901849688241","577429855468"
"107986","144751","91815521-27.5CN","6901849688081","577429855468"
"107989","145957","91815521-110.5CN","6901849687978","577429855468"
"107991","146677","91815521-48CN","6901849688173","560557938646"
"108019","151529","92735550-16CN","6911713077767","566609426753"
"108028","154057","92745522-96.5CN","6901849667215","560311076697"
