tradeNo,subTradeNo,shopCode
1113253827734158223,1113253827734158223,AntaTBOB
1116309155640322230,1116309155640322230,AntaTBOB
996858658117593956,996858658118593956,AntaTBOB
996858658117593956,996858658119593956,AntaTBOB
996858658117593956,996858658120593956,AntaTBOB
599685606509320899,599685606509320899,AntaTBOB
1104983459380426691,1104983459380426691,AntaTBOB
1113822208690235462,1113822208690235462,AntaTBOB
1116202945648110707,1116202945648110707,AntaTBOB
1117345793210931631,1117345793210931631,AntaTBOB
1119479553221429668,1119479553221429668,AntaTBOB
607356717751487200,607356717752487200,AntaTBOB
607356717751487200,607356717753487200,AntaTBOB
1101077058809936173,1101077058810936173,AntaTBOB
1101077058809936173,1101077058811936173,AntaTBOB
1103055040580511491,1103055040581511491,AntaTBOB
1103055040580511491,1103055040582511491,AntaTBOB
1113789283586601984,1113789283586601984,AntaTBOB
1115716835793932720,1115716835793932720,AntaTBOB
1116784643332574055,1116784643332574055,AntaTBOB
599456837477444298,599456837477444298,AntaTBOB
599250758391590796,599250758392590796,AntaTBOB
599250758391590796,599250758393590796,AntaTBOB
599250758391590796,599250758394590796,AntaTBOB
599250758391590796,599250758395590796,AntaTBOB
1110488256655854034,1110488256655854034,AntaTBOB
1110856482887314739,1110856482887314739,AntaTBOB
1116927139523411748,1116927139523411748,AntaTBOB
1093473312571971051,1093473312572971051,AntaTBOB
1093473312571971051,1093473312573971051,AntaTBOB
1093473312571971051,1093473312575971051,AntaTBOB
607807948779161906,607807948779161906,AntaTBOB
1119175744405199574,1119175744405199574,AntaTBOB
1105115203413785821,1105115203413785821,AntaTBOB
1119552354585270670,1119552354585270670,AntaTBOB
1119754467931101215,1119754467931101215,AntaTBOB
934238819017871990,934238819017871990,AntaTBOB
1104936130039785821,1104936130039785821,AntaTBOB
1100391712029442054,1100391712029442054,AntaTBOB
1096744257709282056,1096744257709282056,AntaTBOB
1100888161362047061,1100888161362047061,AntaTBOB
1112396512718284837,1112396512718284837,AntaTBOB
1110961346775464912,1110961346775464912,AntaTBOB
1100973794279227152,1100973794279227152,AntaTBOB
1111145475330335719,1111145475331335719,AntaTBOB
1111145475330335719,1111145475332335719,AntaTBOB
1119557314227124743,1119557314227124743,AntaTBOB
1112495904645798719,1112495904645798719,AntaTBOB
1100312256872136170,1100312256872136170,AntaTBOB
1105409347318867432,1105409347318867432,AntaTBOB
598433860160176496,598433860160176496,AntaTBOB
1109430112303485566,1109430112303485566,AntaTBOB
599634565612531995,599634565612531995,AntaTBOB
606886604388085305,606886604388085305,AntaTBOB
1101193762087780248,1101193762088780248,AntaTBOB
1101193762087780248,1101193762089780248,AntaTBOB
1101287681780786412,1101287681780786412,AntaTBOB
1119803234807474275,1119803234807474275,AntaTBOB
1101376323659926523,1101376323660926523,AntaTBOB
1074023811253809810,1074023811254809810,AntaTBOB
1074023811253809810,1074023811255809810,AntaTBOB
1112342818749384275,1112342818749384275,AntaTBOB
1113423971204339508,1113423971204339508,AntaTBOB
1120013411591398251,1120013411591398251,AntaTBOB
1114200352919764343,1114200352919764343,AntaTBOB
599708487323077893,599708487323077893,AntaTBOB
1111449283184371973,1111449283184371973,AntaTBOB
1116279074302647439,1116279074302647439,AntaTBOB
608000078696685705,608000078696685705,AntaTBOB
608524879740615003,608524879740615003,AntaTBOB
1113121122139078735,1113121122139078735,AntaTBOB
1071108963301304477,1071108963302304477,AntaTBOB
1071108963301304477,1071108963303304477,AntaTBOB
1071108963301304477,1071108963304304477,AntaTBOB
1113436512837840879,1113436512837840879,AntaTBOB
1119450593298922173,1119450593298922173,AntaTBOB
608794095492582100,608794095492582100,AntaTBOB
1086227842212042544,1086227842212042544,AntaTBOB
1101240993576351769,1101240993576351769,AntaTBOB
1110971328768137445,1110971328768137445,AntaTBOB
1111222786326166169,1111222786326166169,AntaTBOB
1114320897697637186,1114320897698637186,AntaTBOB
1114320897697637186,1114320897699637186,AntaTBOB
1114320897697637186,1114320897700637186,AntaTBOB
598592357318246699,598592357318246699,AntaTBOB
598633543064512996,598633543064512996,AntaTBOB
1072586595671034958,1072586595672034958,AntaTBOB
1072586595671034958,1072586595673034958,AntaTBOB
1100366400544167286,1100366400544167286,AntaTBOB
1115359842861605443,1115359842861605443,AntaTBOB
1101043810686048634,1101043810686048634,AntaTBOB
1101121569005480616,1101121569006480616,AntaTBOB
1101121569005480616,1101121569007480616,AntaTBOB
1110582400797194033,1110582400798194033,AntaTBOB
1110582400797194033,1110582400799194033,AntaTBOB
1101339648165977610,1101339648165977610,AntaTBOB
1116465921429800416,1116465921429800416,AntaTBOB
1111553408496028951,1111553408496028951,AntaTBOB
1116572545405210126,1116572545405210126,AntaTBOB
1044228867815000522,1044228867815000522,AntaTBOB
1112464771726326190,1112464771727326190,AntaTBOB
1112464771726326190,1112464771728326190,AntaTBOB
1100335744435244042,1100335744435244042,AntaTBOB
1100547200289093286,1100547200289093286,AntaTBOB
1101093953209440029,1101093953209440029,AntaTBOB
1101158338845306024,1101158338845306024,AntaTBOB
1100808737978709943,1100808737978709943,AntaTBOB
1118743491521966335,1118743491521966335,AntaTBOB
607662991116522701,607662991116522701,AntaTBOB
599334951421241995,599334951422241995,AntaTBOB
599334951421241995,599334951423241995,AntaTBOB
1101094274860407483,1101094274860407483,AntaTBOB
1110257344677739537,1110257344677739537,AntaTBOB
608477453237526700,608477453237526700,AntaTBOB
1101096579986231965,1101096579986231965,AntaTBOB
599519044598242794,599519044598242794,AntaTBOB
1115335810536104935,1115335810538104935,AntaTBOB
1117050401558259623,1117050401558259623,AntaTBOB
1095381474650587562,1095381474650587562,AntaTBOB
1100536672783860290,1100536672784860290,AntaTBOB
1100536672783860290,1100536672785860290,AntaTBOB
1118868291283495924,1118868291283495924,AntaTBOB
1101079265451949045,1101079265451949045,AntaTBOB
1120250563940998707,1120250563940998707,AntaTBOB
1101132930077382089,1101132930079382089,AntaTBOB
1101132930077382089,1101132930080382089,AntaTBOB
1082583715739888075,1082583715739888075,AntaTBOB
1101176289419007644,1101176289419007644,AntaTBOB
1120251843864497129,1120251843864497129,AntaTBOB
1101272770448548613,1101272770448548613,AntaTBOB
1101487490091410246,1101487490091410246,AntaTBOB
1101954402218977610,1101954402218977610,AntaTBOB
1114522722839605443,1114522722839605443,AntaTBOB
1112365184711977677,1112365184712977677,AntaTBOB
1112365184711977677,1112365184713977677,AntaTBOB
596266828893878603,596266828893878603,AntaTBOB
1116641059112409854,1116641059112409854,AntaTBOB
1036998947357815151,1036998947357815151,AntaTBOB
1119175680615124545,1119175680615124545,AntaTBOB
607614607858563802,607614607858563802,AntaTBOB
599686182103813897,599686182103813897,AntaTBOB
1120039746445621173,1120039746445621173,AntaTBOB
1101087330724342116,1101087330725342116,AntaTBOB
1101087330724342116,1101087330726342116,AntaTBOB
1101087330724342116,1101087330727342116,AntaTBOB
