"id_goods","goods_sn","id_shop","onsell"
"5","11128030","4","0"
"6","11131063","4","0"
"7","11131144","4","0"
"8","11137701","4","0"
"9","11137739","4","0"
"10","11138070","4","0"
"11","11141002","4","0"
"12","11141021","4","0"
"13","11141047","4","0"
"14","11141167","4","0"
"15","11142204","4","0"
"16","11143306","4","0"
"17","11146603","4","0"
"18","11147710","4","0"
"19","11147721","4","0"
"20","11147771","4","0"
"21","11148015","4","0"
"22","11148031","4","0"
"23","11148032","4","0"
"24","11148047","4","0"
"25","11148056","4","0"
"26","11148058","4","0"
"27","11148071","4","0"
"28","11148073","4","0"
"29","11148079","4","0"
"30","11148816","4","0"
"31","11148871","4","0"
"32","11148872","4","0"
"33","11148873","4","0"
"34","1118012","4","0"
"35","111935524R","4","1"
"36","111937772R","4","0"
"37","111938021R","4","1"
"38","111938811R","4","0"
"39","111938822R","4","0"
"40","111945524R","4","1"
"41","111948092R","4","1"
"42","111948823R","4","1"
"43","111948886R","4","1"
"44","112018840","4","1"
"45","11211062","4","0"
"46","11215501","4","0"
"47","11215565","4","0"
"48","11215568","4","0"
"49","11216608","4","0"
"50","11216632","4","0"
"51","11217728","4","0"
"52","11217729","4","0"
"53","11218047","4","0"
"54","11218054","4","0"
"55","11218059","4","0"
"56","11218062","4","0"
"57","11218063","4","0"
"58","11218087","4","0"
"59","11218088","4","0"
"60","11218089","4","0"
"61","11218850","4","0"
"62","11221011","4","0"
"63","11221012","4","0"
"64","11221121","4","0"
"65","11221146","4","0"
"66","11223031","4","0"
"67","11223301","4","0"
"68","11223306","4","0"
"69","11225506","4","0"
"70","11225531","4","0"
"71","11225542","4","0"
"72","11225547","4","0"
"73","11225580","4","0"
"74","11225581","4","0"
"75","11225586","4","0"
"76","11226603","4","0"
"77","11226610","4","0"
"78","11227705","4","0"
"79","11227709","4","0"
"80","11228006","4","0"
"81","11228023","4","0"
"82","11228034","4","0"
"83","11228036","4","0"
"84","11228060","4","0"
"85","11228065","4","0"
"86","11228080","4","0"
"87","11228818","4","0"
"88","11228963","4","0"
"89","11228965","4","0"
"90","11228992","4","0"
"91","11230002","4","0"
"92","11231011","4","0"
"93","11231103","4","0"
"94","11231111","4","0"
"95","11231121","4","0"
"96","11231123","4","0"
"97","11231151","4","0"
"98","11231153","4","0"
"99","11231159","4","0"
"100","11233034","4","0"
"101","11235503","4","0"
"102","11235518","4","0"
"103","11235519","4","0"
"104","11235522","4","0"
"105","11235525","4","0"
"106","11235560","4","0"
"107","11236622","4","0"
"108","11236631","4","0"
"109","11236646","4","0"
"110","11237704","4","0"
"111","11237770","4","0"
"112","11238020","4","0"
"113","11238026","4","0"
"114","11238038","4","0"
"115","11238066","4","0"
"116","11238807","4","0"
"117","11238810","4","0"
"118","11238823","4","0"
"119","11238828","4","0"
"120","11238842","4","0"
"121","11238906","4","0"
"122","11241011","4","0"
"123","11241052","4","0"
"124","11241055","4","0"
"125","11241063","4","0"
"126","11241110","4","0"
"127","11241122","4","0"
"128","11241150","4","0"
"129","11241151","4","0"
"130","11241153","4","0"
"131","11241154","4","0"
"132","11241162","4","0"
"133","11243301","4","0"
"134","11243316","4","0"
"135","11245515","4","0"
"136","11245525","4","0"
"137","11245560","4","0"
"138","11245563","4","0"
"139","11245587","4","0"
"140","11246613","4","0"
"141","11246643","4","0"
"142","11246653","4","0"
"143","11247722","4","0"
"144","11247723","4","0"
"145","11247724","4","0"
"146","11248003","4","0"
"147","11248010","4","0"
"148","11248011","4","0"
"149","11248036","4","0"
"150","11248037","4","0"
"151","11248041","4","0"
"152","11248045","4","0"
"153","11248054","4","0"
"154","11248824","4","0"
"155","11248853","4","0"
"156","11248915","4","0"
"157","11248931","4","0"
"158","11248966","4","0"
"159","11311021","4","0"
"160","11311045","4","0"
"161","11311120","4","0"
"162","11311143","4","0"
"163","11311145","4","0"
"164","11311151","4","0"
"165","11311153","4","0"
"166","11311159","4","0"
"167","11313309","4","0"
"168","11313312","4","0"
"169","11315501","4","0"
"170","11315503","4","0"
"171","11315519","4","0"
"172","11315533","4","0"
"173","11315567","4","0"
"174","11315570","4","0"
"175","11315587","4","0"
"176","11315590","4","0"
"177","11315595","4","0"
"178","11316610","4","0"
"179","11316611","4","0"
"180","11316630","4","0"
"181","11317747","4","0"
"182","11318011","4","0"
