goodsId,singleProductId,sku,barcode,platformGoodsId,hasStock
102672,108853,31349904-227CN,690982262388301,42172325443,1
103117,107627,32549923-330CN,6903599701416,524422805253,1
102236,107362,11615501-58CN,6903599497319,526093147070,1
103511,107237,12535579-28CN,6903599441305,560704043656,1
314410,103333,886GW320-95008CN,886GW3209508,549126424812,1
313916,102242,886VV332-11012CN,886VV3321112,,1
102637,105787,11614412-48CN,6903599497074,1256183210,0
102253,107510,11618010-410.5CN,6903599504420,,0
102279,104897,31536601-135CN,6909822684594,557188345015,0
102697,113449,11611109-28CN,6903599494646,525253564983,1
103499,113323,12535579-57CN,6903599441442,520118014240,1
102963,113083,31539901-127CN,6909822685799,520772388707,1
102767,110180,91528014-141CN,6913794774498,570310508776,1
102695,105473,11611109-38CN,6903599494721,525159674257,1
102299,105388,11618032-47.5CN,6903599506189,525363128293,0
103371,104729,11617710-28CN,6903599501726,550207803256,1
102483,104520,12616601-35.5CN,6903599512777,,1
314694,103744,881RP241-55012CN,881RP2415512,529036144237,1
314387,103689,881QP422-35012CN,881QP4223512,,1
102722,113935,91535501-17CN,6913794776553,521533887991,1
102431,107686,11618802-310.5CN,6903599507636,544556534678,1
103480,107443,32329902-227CN,691379493558501,,1
103506,105601,11615581-19.5CN,6903599499757,525111289537,1
314566,104332,886VL323-17014CN,886VL3231714,,1
103444,113763,11615570-310.5CN,6903599499146,525251044786,1
103334,112818,11521391-444CN,6913794548716,44423697443,1
102697,112768,11611109-29CN,6903599494660,525253564983,1
103082,110247,11617773-37CN,6903599503058,525069690692,1
102640,109956,12615581-87.5CN,6903599512159,567924669781,1
102834,108892,31539910-327CN,6909822686819,574911384232,1
102206,106175,91541111-29CN,6913794785791,616486128526,1
314597,104391,686TW640-95050CN,686TW6409550,,1
314312,103776,886GW320-17014CN,886GW3201714,531616925585,1
102458,114042,11615530-39CN,6903599497739,525260161635,1
103092,113505,11615555-17.5CN,6903599498255,10852389063,1
102207,113406,91541111-310.5CN,6913794785814,616486128526,1
102363,112827,11616601-49.5CN,6903599500637,,1
102869,112675,11617718-58CN,6903599502570,524932478846,1
103198,109834,12615585-47CN,6903599512319,565156736074,1
103515,109823,31336602-2 40#000CN,690982261112501,,1
102724,108270,91535501-410.5CN,6913794776812,521456075300,1
102872,108038,12618041-37.5CN,6903599525081,556326708588,1
102312,104610,12615520-25.5CN,6903599509821,529386872886,1
314249,104327,881BX214-01012CN,881BX2140112,,1
314175,104160,881QA247-07016CN,881QA2470716,,1
314738,103698,881MP261-55006CN,881MP2615506,531616925585,1
102261,113446,12611118-15CN,6903599508879,,1
102649,111958,11617711-28CN,6903599501962,567924669781,1
102216,111808,11616621-48CN,6903599501320,,1
103262,110904,11617710-89.5CN,6903599501917,525336946378,1
103449,109321,11615570-17.5CN,6903599499016,525251044786,1
314109,103633,881BX407-17006CN,881BX4071706,565349096991,1
103208,108118,12615585-37CN,6903599512258,564816536253,1
102586,107611,11548015-37CN,6903599465080,522891269420,1
102390,107501,31539902-328CN,6909822685980,550083986626,1
314379,103664,886MA359-06012CN,886MA3590612,,1
314692,102671,886VL394-55014CN,886VL3945514,,1
309613,102209,681BP725-11080CN,681BP7251180,,1
102170,106733,92616614-25CN,6913794793253,526056268867,0
103193,110053,31329921-228CN,691379493949101,565156736074,1
102289,108430,12615566-15CN,6903599511060,568623037868,1
102866,108276,11617718-37CN,6903599502402,543855077661,1
103230,108092,12617773-47CN,6903599514597,525148390976,1
102734,105563,91548060-19CN,6913794788433,557555664960,1
314437,104173,881MA040-57090CN,881MA0405790,,1
102620,111580,12618805-16CN,6903599517307,10027158476,1
102696,109624,32449915-226CN,6909822660208,42404935979,1
102722,108674,91535501-17.5CN,6913794776560,521533887991,1
103089,106565,12615587-55CN,6903599512616,525752225898,1
314400,103928,886AK005-07006CN,886AK0050706,,1
314331,102484,881RA030-19014CN,881RA0301914,,1
314301,102465,886BX214-07006CN,886BX2140706,,1
103173,113024,11615566-110.5CN,6903599498668,525609000437,1
102335,109059,11618815-37CN,6903599508138,525066902720,1
102683,106268,91535523-210.5CN,6913794778212,523955458841,1
102635,106063,11614412-29.5CN,6903599497029,,1
102156,107371,12617701-58.5CN,6903599513385,526380810775,0
102275,105776,31429991-127CN,6909822643409,10744374907,0
102589,114354,92535524-35CN,6913794783483,521596229514,1
102865,111520,11617718-410.5CN,6903599502464,,1
102913,108479,11618801-78CN,6903599507353,525152116371,1
102905,105341,11618801-37.5CN,6903599507186,525176876998,1
314401,104158,881AX228-85008CN,881AX2288508,,1
102853,113102,11547778-69CN,6903599464090,563267508273,1
102311,111989,12615520-18CN,6903599509791,529386872886,1
102466,108605,31540001-125CN,6909822691165,522092760849,1
103501,104727,11617716-27.5CN,6903599502181,,1
314333,104394,686GW709-06060CN,686GW7090660,546698763732,1
313979,104046,881AP014-17014CN,881AP0141714,544542330284,1
313940,102984,886GP319-55010CN,886GP3195510,565349096991,1
103150,111249,11615566-28.5CN,6903599498798,525609000437,1
102244,106532,11618010-29.5CN,6903599504413,525960836313,1
314410,103745,886GW320-95012CN,886GW3209512,,1
314164,103233,886AX207-51006CN,886AX2075106,547756680558,1
102291,105683,12615566-25.5CN,6903599511152,527055321332,0
102224,113780,32449912-229CN,6909822659875,,1
103082,109587,11617773-38CN,6903599503072,525069690692,1
314581,103500,686PW710-59090CN,686PW7105990,,1
102627,106184,31515512-136CN,6909822663209,10054512700,0
102470,113802,91438009-442CN,6913794752496,42327660397,1
102487,112861,11618001-38.5CN,6903599504116,566427993712,1
102623,110385,12618805-26CN,6903599517383,526918683403,1
102575,105432,31336610-2 40#000CN,690982261139201,,1
314694,104389,881RP241-55008CN,881RP2415508,546698763732,1
103264,110018,92548060-37.5CN,6913794789867,577337434953,1
102518,109882,91338041-243CN,6913794828580,41742994339,1
102562,109181,31549910-326CN,6909822697587,10561547664,1
102321,108467,32449914-229CN,6909822660116,41229069572,1
102247,105399,11618010-17.5CN,6903599504307,10123219819,0
102882,114183,31429902-126CN,6909822636579,536088551196,1
102434,114151,11618802-18CN,6903599507513,526240710569,1
103529,113913,91535522-18CN,6913794778014,528020944182,1
102459,113534,11615530-48.5CN,6903599497807,524597229299,1
103103,112752,11618015-48.5CN,6903599505137,524991295155,1
103446,111369,11618831-48CN,6903599508466,525297575785,1
103090,108220,31531102-3 40#000CN,6909822680510,521367652227,1
314373,104125,886SJ267-92014CN,886SJ2679214,556418812511,1
314653,102647,886VL390-57012CN,886VL3905712,,1
314613,102633,886AX309-97014CN,886AX3099714,,1
314517,102571,886BA010-01012CN,886BA0100112,,1
103149,111665,11615566-37.5CN,6903599498859,10026405983,1
102861,110111,12618041-47CN,6903599516393,521381097516,1
103170,108083,11615555-48.5CN,6903599498408,526929590288,1
314474,102549,886GP318-21010CN,886GP3182110,,1
103310,113658,12617775-75.5CN,6903599514955,525376796425,1
103508,112274,31439908-330CN,6909822648794,40601898229,1
102602,107614,91515503-442CN,6913794764901,524031027690,1
314699,103829,686MP723-97006CN,686MP7239706,531922927843,1
102169,105097,31535509-332CN,6909822682361,523936636359,0
102299,114280,11618032-48.5CN,6903599506202,525363128293,1
102976,112204,11613301-29.5CN,6903599496701,,1
103219,107257,12618800-48.5CN,6903599516805,557641684437,1
313929,103715,886SA380-06016CN,886SA3800616,531616925585,1
313923,102245,881MW044-85008CN,881MW0448508,,1
102289,105893,12615566-16.5CN,6903599511091,527055321332,0
102674,111904,31349904-330CN,690982262397501,42172325443,1
103531,110512,91535522-29.5CN,6913794778090,528020944182,1
102196,108451,11611308-210.5CN,6903599496398,549578016763,1
102916,107864,11618022-58.5CN,6903599505748,525197743325,1
103150,112600,11615566-27.5CN,6903599498774,525609000437,1
103257,111255,11615530-59.5CN,6903599497906,526216638724,1
102284,110573,12615520-38CN,6903599509951,529386872886,1
102506,107983,11611301-67CN,6903599495728,526405197467,1
103300,106914,11618809-48CN,6903599507919,525223163482,1
103403,105424,12537776-68CN,6903599445549,520133868905,1
