shopId,shopCode,shopName
200216,BJGX_FilaTBOC,淘宝-FILA奥特莱斯
200232,AntaKidsTBDDOB,天猫-安踏顶点专卖店
200233,AntaTBOB,天猫-安踏官方网店
200234,AntaTBOC,淘宝-安踏品牌网店
200238,AntaTBRDOB,天猫-安踏锐动专卖店
200336,filaTbDD,天猫-fila斐乐顶点专卖店
200338,AntaKidsTbOBRc,天猫-anta安踏童装旗舰店
200341,AntaTbAc,天猫-anta箱包旗舰店
200370,antaLqOB,天猫-安踏体育篮球旗舰店
200404,TM-SYMZOB,天猫-三友母婴专营店
200431,AntaTBSPD,淘宝-sprandi品牌工厂店
200448,AntaWomenTbOBRc,天猫-安踏女子运动旗舰店
200449,AntaSPDTbOBRc,天猫-sprandi旗舰店
200451,FilaTMETOB,天猫-fila童装旗舰店
200467,AntaRCTMET,天猫-锐诚童鞋专营店
200491,FILATBETOB,淘宝-fila童装品牌网店
200501,kingkowOB,天猫-kingkow童装旗舰店
200519,BJGX_ANTATBOC,天猫-anta官方outlets店
200529,FILA_FusionTBOB,天猫-FILA FUSION官方旗舰店
200540,anta_plus,天猫-antaplus旗舰店
200547,AntaKidsTMOB,天猫-antakids旗舰店
